Ref,Val,Package,PosX,PosY,Rot,Side
"BRD1","proteus","proteus",143.700000,113.075000,180.000000,top
"C1","100n","C0603",51.516014,28.036999,0.000000,top
"C2","47p","C0603",48.426013,28.036999,180.000000,top
"D1","D_Schottky","D_SMA",94.000000,115.500000,180.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",140.000000,121.500000,-90.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",136.500000,121.500000,-90.000000,top
"F3","Fuse-Pad-Pad","PAD-1206-PAD",15.000000,115.000000,0.000000,top
"G1","PROTO_AREA","PROTO_AREA",27.940001,2.540000,90.000000,top
"G2","PROTO_AREA","PROTO_AREA",12.700000,15.240000,90.000000,top
"G3","PROTO_AREA","PROTO_AREA",35.560000,2.540001,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",20.320000,2.540001,90.000000,top
"G5","PROTO_AREA","PROTO_AREA",40.640000,20.320000,180.000000,top
"G6","RUSEFI_LOGO","rusefi_logo",148.600000,25.600000,0.000000,top
"G7","PROTO_AREA","PROTO_AREA",20.320000,15.240000,90.000000,top
"G8","PROTO_AREA","PROTO_AREA",12.700000,2.540000,90.000000,top
"J1","1318612-1","TE_1318612-1",77.800000,145.975000,0.000000,top
"J2","XH-10A","Molex_SPOX_5267-10A_1x10_P2.50mm_Vertical",111.600000,26.300000,-90.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",69.660000,4.700000,-90.000000,top
"M1","Module-wbo-0.3","wbo",68.150000,9.875000,0.000000,top
"M2","Module-can-0.1","can",59.281663,24.862499,-90.000000,top
"P1","Pad","PAD-TH",143.000000,120.000000,0.000000,top
"P2","Pad","PAD-TH",122.500000,124.000000,0.000000,top
"P3","Pad","PAD-TH",115.000000,124.000000,0.000000,top
"P6","Pad","PAD-TH",109.500000,124.000000,0.000000,top
"P7","Pad","PAD-TH",106.500000,124.000000,0.000000,top
"P8","Pad","PAD-TH",100.500000,124.000000,0.000000,top
"P9","Pad","PAD-TH",84.500000,124.000000,0.000000,top
"P10","Pad","PAD-TH",81.500000,124.000000,0.000000,top
"P11","Pad","PAD-TH",75.500000,124.000000,0.000000,top
"P12","Pad","PAD-TH",72.500000,124.000000,0.000000,top
"P13","Pad","PAD-TH",69.500000,124.000000,0.000000,top
"P14","Pad","PAD-TH",66.500000,124.000000,0.000000,top
"P15","Pad","PAD-TH",63.500000,124.000000,0.000000,top
"P16","Pad","PAD-TH",84.500000,119.500000,0.000000,top
"P17","Pad","PAD-TH",81.500000,119.500000,0.000000,top
"P18","Pad","PAD-TH",78.500000,124.000000,0.000000,top
"P19","Pad","PAD-TH",75.500000,119.500000,0.000000,top
"P20","Pad","PAD-TH",72.500000,119.500000,0.000000,top
"P21","Pad","PAD-TH",69.500000,119.500000,0.000000,top
"P22","Pad","PAD-TH",66.500000,119.500000,0.000000,top
"P23","Pad","PAD-TH",63.500000,119.500000,0.000000,top
"P24","Pad","PAD-TH",84.500000,115.000000,0.000000,top
"P25","Pad","PAD-TH",81.500000,115.000000,0.000000,top
"P26","Pad","PAD-TH",78.500000,119.500000,0.000000,top
"P27","Pad","PAD-TH",75.500000,115.000000,0.000000,top
"P28","Pad","PAD-TH",72.500000,115.000000,0.000000,top
"P29","Pad","PAD-TH",66.500000,115.000000,0.000000,top
"P30","Pad","PAD-TH",63.500000,115.000000,0.000000,top
"P31","Pad","PAD-TH",55.500000,124.000000,0.000000,top
"P32","Pad","PAD-TH",52.500000,124.000000,0.000000,top
"P33","Pad","PAD-TH",49.500000,124.000000,0.000000,top
"P34","Pad","PAD-TH",46.500000,124.000000,0.000000,top
"P35","Pad","PAD-TH",58.500000,124.000000,0.000000,top
"P36","Pad","PAD-TH",55.500000,119.500000,0.000000,top
"P37","Pad","PAD-TH",49.500000,119.500000,0.000000,top
"P38","Pad","PAD-TH",46.500000,119.500000,0.000000,top
"P40","Pad","PAD-TH",40.000000,124.000000,0.000000,top
"P41","Pad","PAD-TH",37.000000,124.000000,0.000000,top
"P42","Pad","PAD-TH",34.000000,124.000000,0.000000,top
"P43","Pad","PAD-TH",34.000000,119.500000,0.000000,top
"P44","Pad","PAD-TH",31.000000,124.000000,0.000000,top
"P45","Pad","PAD-TH",28.000000,124.000000,0.000000,top
"P46","Pad","PAD-TH",25.000000,124.000000,0.000000,top
"P47","Pad","PAD-TH",19.000000,124.000000,0.000000,top
"P48","Pad","PAD-TH",16.000000,119.500000,0.000000,top
"P49","Pad","PAD-TH",13.000000,124.000000,0.000000,top
"P50","Pad","PAD-TH",37.000000,119.500000,0.000000,top
"P51","Pad","PAD-TH",31.000000,115.000000,0.000000,top
"P52","Pad","PAD-TH",28.000000,119.500000,0.000000,top
"P53","Pad","PAD-TH",25.000000,119.500000,0.000000,top
"P54","Pad","PAD-TH",19.000000,119.500000,0.000000,top
"P55","Pad","PAD-TH",20.200000,115.100000,0.000000,top
"P56","Pad","PAD-TH",108.300000,85.500000,90.000000,top
"P57","Pad","PAD-TH",108.300000,88.500000,90.000000,top
"P58","Pad","PAD-TH",145.400000,52.000000,-90.000000,top
"P60","Pad","PAD-TH",108.349999,57.000000,0.000000,top
"P61","Pad","PAD-TH",108.349999,66.000000,0.000000,top
"P65","Pad","PAD-TH",108.349999,82.500000,90.000000,top
"P66","Pad","PAD-TH",108.349999,79.500000,90.000000,top
"P67","Pad","PAD-TH",108.349999,76.500000,90.000000,top
"P68","Pad","PAD-TH",108.349999,73.500000,90.000000,top
"P69","Pad","PAD-TH",108.349999,70.500000,90.000000,top
"P70","Pad","PAD-TH",103.849999,67.500000,90.000000,top
"P71","Pad","PAD-TH",108.349999,61.500000,0.000000,top
"P72","Pad","PAD-TH",108.349999,48.000000,0.000000,top
"P73","Pad","PAD-TH",63.000000,27.000000,0.000000,top
"P74","Pad","PAD-TH",72.000000,27.000000,0.000000,top
"P75","Pad","PAD-TH",75.000000,27.000000,0.000000,top
"P76","Pad","PAD-TH",66.000000,27.000000,0.000000,top
"P77","Pad","PAD-TH",69.000000,27.000000,0.000000,top
"P78","Pad","PAD-TH",90.000000,27.000000,0.000000,top
"P79","Pad","PAD-TH",81.000000,27.000000,0.000000,top
"P80","Pad","PAD-TH",93.000000,27.000000,0.000000,top
"P81","Pad","PAD-TH",96.000000,27.000000,0.000000,top
"P82","Pad","PAD-TH",87.000000,27.000000,0.000000,top
"P83","Pad","PAD-TH",78.000000,27.000000,0.000000,top
"P86","Pad","PAD-TH",44.549999,84.000000,-90.000000,top
"P87","Pad","PAD-TH",44.549999,75.000000,-90.000000,top
"P88","Pad","PAD-TH",44.549999,77.850000,-90.000000,top
"P89","Pad","PAD-TH",97.500000,124.000000,0.000000,top
"P90","Pad","PAD-TH",13.000000,119.500000,0.000000,top
