Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"100n","C1, C430, C431","C0603","C14663"
"47p","C2","C0603","C1671"
"D_Schottky","D1, D2","D_SMA","C8678"
"DNP","D3","D_SMA",""
"Fuse-Pad-Pad","F1, F2, F3","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"RUSEFI_LOGO","G6","rusefi_logo",""
"PROTO_AREA","G7","PROTO_AREA",""
"PROTO_AREA","G8","PROTO_AREA",""
"1318612-1","J1","TE_1318612-1",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"XH-10AW","J4","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Conn_01x01","J7","MountingHole_4.5mm",""
"Conn_01x01","J8","MountingHole_4.5mm",""
"Conn_01x01","J9","MountingHole_4.5mm",""
"Conn_01x01","J10","MountingHole_4.5mm",""
"Conn_01x01","J11","MountingHole_4.5mm",""
"Conn_01x01","J12","MountingHole_4.5mm",""
"Conn_01x01","J13","MountingHole_4.5mm",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
"Pad","P35","PAD-TH",""
"Pad","P36","PAD-TH",""
"Pad","P37","PAD-TH",""
"Pad","P38","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P42","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P57","PAD-TH",""
"Pad","P58","PAD-TH",""
"Pad","P60","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P65","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"Pad","P68","PAD-TH",""
"Pad","P69","PAD-TH",""
"Pad","P70","PAD-TH",""
"Pad","P71","PAD-TH",""
"Pad","P72","PAD-TH",""
"Pad","P73","PAD-TH",""
"Pad","P74","PAD-TH",""
"Pad","P75","PAD-TH",""
"Pad","P76","PAD-TH",""
"Pad","P77","PAD-TH",""
"Pad","P78","PAD-TH",""
"Pad","P79","PAD-TH",""
"Pad","P80","PAD-TH",""
"Pad","P81","PAD-TH",""
"Pad","P82","PAD-TH",""
"Pad","P83","PAD-TH",""
"Pad","P86","PAD-TH",""
"Pad","P87","PAD-TH",""
"Pad","P88","PAD-TH",""
"Pad","P89","PAD-TH",""
"Pad","P90","PAD-TH",""
"Pad","P91","PAD-TH",""
"Pad","P92","PAD-TH",""
"Pad","P93","PAD-TH",""
"Pad","P94","PAD-TH",""
"Pad","P95","PAD-TH",""
"Pad","P96","PAD-TH",""
"51k","R1","R0603","C23196"
"Jumper-Pad-Pad","R2, R3, R4","PAD-0805-PAD","C17477"
"MPXxx6115A","U1","MPX_SOP_SSOP",""
"1u","C600, C607, C609, C610, C611","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615","C0402","C1525"
"33n","C603","C0402","C1585"
"DNP","C604","C0402",""
"DNP","C606","C0402",""
"4.7u","C616","C0603","C19666"
"LED-RED-0603","D600, D603","LED-0603","C2286"
"LED-GREEN-0603","D601","LED-0603","C72043"
"LED-BLUE-0603","D602","LED-0603","C72041"
"VNP28N04-E","Q601","TO-220-3_Vertical","C263002"
"1k","R600, R601, R616, R617, R622, R626, R627, R628","R0402","C11702"
"68k","R602, R603","R0402","C36871"
"10k","R604, R605, R613, R614, R618, R619, R625","R0402","C25744"
"10","R606","R0402","C25077"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"100k","R615, R621","R0402","C25741"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"MCP6004","U600","TSSOP14","C50282"
"AD8628","U601","TSOT23-5","C29309"
"REF3033","U603","SOT-23","C36658"
"XC6206P332MR","U604","SOT-23","C5446"
"PESD1CAN","D430","SOT-23","C343993"
"120","R430","R0603","C22787"
"TJA1051T/3/1J","U430","SO8","C38695"
