Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"100n","C1","C0603","C14663"
"47p","C2","C0603","C1671"
"D_Schottky","D1","D_SMA","C8678"
"D_Schottky","D2","D_SMA","C8678"
"DNP","D3","D_SMA",""
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F3","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"RUSEFI_LOGO","G6","rusefi_logo",""
"PROTO_AREA","G7","PROTO_AREA",""
"PROTO_AREA","G8","PROTO_AREA",""
"1318612-1","J1","TE_1318612-1",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"XH-10AW","J4","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Conn_01x01","J7","MountingHole_4.5mm",""
"Conn_01x01","J8","MountingHole_4.5mm",""
"Conn_01x01","J9","MountingHole_4.5mm",""
"Conn_01x01","J10","MountingHole_4.5mm",""
"Conn_01x01","J11","MountingHole_4.5mm",""
"Conn_01x01","J12","MountingHole_4.5mm",""
"Conn_01x01","J13","MountingHole_4.5mm",""
"Module:wbo/0.3","M1","wbo",""
"Module:can/0.1","M2","can",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
"Pad","P35","PAD-TH",""
"Pad","P36","PAD-TH",""
"Pad","P37","PAD-TH",""
"Pad","P38","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P42","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P57","PAD-TH",""
"Pad","P58","PAD-TH",""
"Pad","P60","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P65","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"Pad","P68","PAD-TH",""
"Pad","P69","PAD-TH",""
"Pad","P70","PAD-TH",""
"Pad","P71","PAD-TH",""
"Pad","P72","PAD-TH",""
"Pad","P73","PAD-TH",""
"Pad","P74","PAD-TH",""
"Pad","P75","PAD-TH",""
"Pad","P76","PAD-TH",""
"Pad","P77","PAD-TH",""
"Pad","P78","PAD-TH",""
"Pad","P79","PAD-TH",""
"Pad","P80","PAD-TH",""
"Pad","P81","PAD-TH",""
"Pad","P82","PAD-TH",""
"Pad","P83","PAD-TH",""
"Pad","P86","PAD-TH",""
"Pad","P87","PAD-TH",""
"Pad","P88","PAD-TH",""
"Pad","P89","PAD-TH",""
"Pad","P90","PAD-TH",""
"Pad","P91","PAD-TH",""
"Pad","P92","PAD-TH",""
"Pad","P93","PAD-TH",""
"Pad","P94","PAD-TH",""
"Pad","P95","PAD-TH",""
"Pad","P96","PAD-TH",""
"51k","R1","R0603","C23196"
"Jumper-Pad-Pad","R2","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"MPXxx6115A","U1","MPX_SOP_SSOP",""
