Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BRD1,143.700000mm,113.075000mm,Top,180.0,143.700000mm,113.075000mm
C1,51.516014mm,28.036999mm,Top,0.0,51.516014mm,28.036999mm
C2,48.426013mm,28.036999mm,Top,180.0,48.426013mm,28.036999mm
D1,94.000000mm,115.300000mm,Top,180.0,94.000000mm,115.300000mm
D2,111.500001mm,119.100000mm,Top,180.0,111.500001mm,119.100000mm
D3,94.000000mm,119.000000mm,Top,180.0,94.000000mm,119.000000mm
F1,140.000000mm,121.500000mm,Top,-90.0,140.000000mm,121.500000mm
F2,136.500000mm,121.500000mm,Top,-90.0,136.500000mm,121.500000mm
F3,15.000000mm,115.000000mm,Top,0.0,15.000000mm,115.000000mm
G1,27.940001mm,2.540000mm,Top,90.0,27.940001mm,2.540000mm
G2,12.700000mm,15.240000mm,Top,90.0,12.700000mm,15.240000mm
G3,35.560000mm,2.540001mm,Top,90.0,35.560000mm,2.540001mm
G4,20.320000mm,2.540001mm,Top,90.0,20.320000mm,2.540001mm
G5,40.640000mm,20.320000mm,Top,180.0,40.640000mm,20.320000mm
G6,148.600000mm,25.600000mm,Top,0.0,148.600000mm,25.600000mm
G7,20.320000mm,15.240000mm,Top,90.0,20.320000mm,15.240000mm
G8,12.700000mm,2.540000mm,Top,90.0,12.700000mm,2.540000mm
J1,77.800000mm,145.975000mm,Top,0.0,77.800000mm,145.975000mm
J3,69.660000mm,4.700000mm,Top,-90.0,69.660000mm,4.700000mm
J4,117.550000mm,22.550000mm,Top,0.0,117.550000mm,22.550000mm
M1,68.150000mm,9.875000mm,Top,0.0,68.150000mm,9.875000mm
M2,59.281663mm,24.862499mm,Top,-90.0,59.281663mm,24.862499mm
P1,143.000000mm,120.000000mm,Top,0.0,143.000000mm,120.000000mm
P2,122.500000mm,124.000000mm,Top,0.0,122.500000mm,124.000000mm
P3,115.000000mm,124.000000mm,Top,0.0,115.000000mm,124.000000mm
P6,109.500000mm,124.000000mm,Top,0.0,109.500000mm,124.000000mm
P7,106.500000mm,124.000000mm,Top,0.0,106.500000mm,124.000000mm
P8,100.500000mm,124.000000mm,Top,0.0,100.500000mm,124.000000mm
P9,84.500000mm,124.000000mm,Top,0.0,84.500000mm,124.000000mm
P10,81.500000mm,124.000000mm,Top,0.0,81.500000mm,124.000000mm
P11,75.500000mm,124.000000mm,Top,0.0,75.500000mm,124.000000mm
P12,72.500000mm,124.000000mm,Top,0.0,72.500000mm,124.000000mm
P13,69.500000mm,124.000000mm,Top,0.0,69.500000mm,124.000000mm
P14,66.500000mm,124.000000mm,Top,0.0,66.500000mm,124.000000mm
P15,63.500000mm,124.000000mm,Top,0.0,63.500000mm,124.000000mm
P16,84.500000mm,119.500000mm,Top,0.0,84.500000mm,119.500000mm
P17,81.500000mm,119.500000mm,Top,0.0,81.500000mm,119.500000mm
P18,78.500000mm,124.000000mm,Top,0.0,78.500000mm,124.000000mm
P19,75.500000mm,119.500000mm,Top,0.0,75.500000mm,119.500000mm
P20,72.500000mm,119.500000mm,Top,0.0,72.500000mm,119.500000mm
