"Comment","Designator","Footprint","LCSC Part #"
"proteus","BRD1","kicad6-libraries:proteus",""
"100n","C1","hellen-one-common:C0603","C14663"
"47p","C2","hellen-one-common:C0603","C1671"
"D_Schottky","D1","Diode_SMD:D_SMA","C8678"
"D_Schottky","D2","Diode_SMD:D_SMA","C8678"
"DNP","D3","Diode_SMD:D_SMA",""
"Fuse-Pad-Pad","F1","hellen-one-common:PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","hellen-one-common:PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F3","hellen-one-common:PAD-1206-PAD","C182446"
"PROTO_AREA","G1","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G2","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G3","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G4","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G5","hellen-one-common:PROTO_AREA",""
"RUSEFI_LOGO","G6","kicad6-libraries:rusefi_logo",""
"PROTO_AREA","G7","hellen-one-common:PROTO_AREA",""
"PROTO_AREA","G8","hellen-one-common:PROTO_AREA",""
"1318612-1","J1","kicad6-libraries:TE_1318612-1",""
"Conn_01x06","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"XH-10AW","J4","Connector_JST:JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Conn_01x01","J7","MountingHole:MountingHole_4.5mm",""
"Conn_01x01","J8","MountingHole:MountingHole_4.5mm",""
"Conn_01x01","J9","MountingHole:MountingHole_4.5mm",""
"Conn_01x01","J10","MountingHole:MountingHole_4.5mm",""
"Conn_01x01","J11","MountingHole:MountingHole_4.5mm",""
"Conn_01x01","J12","MountingHole:MountingHole_4.5mm",""
"Conn_01x01","J13","MountingHole:MountingHole_4.5mm",""
"Module-wbo-0.3","M1","hellen-one-wbo-0.3:wbo",""
"Module-can-0.1","M2","hellen-one-can-0.1:can",""
"Pad","P1","hellen-one-common:PAD-TH",""
"Pad","P2","hellen-one-common:PAD-TH",""
"Pad","P3","hellen-one-common:PAD-TH",""
"Pad","P6","hellen-one-common:PAD-TH",""
"Pad","P7","hellen-one-common:PAD-TH",""
